REG,DEP,ARR,SEXE,AGE,AGE6,ACTEU,DIP7,PCS1Q,ANCCHOM,HHID,HH_TAILLE,HH_AGE,HH_DIP,HH_PCS,IS_CHOM
28,76,761,1,53,50,1,4,30,99,3558,4,53,4,30,0
28,76,761,2,43,25,1,7,52,99,3558,4,53,4,30,0
28,76,761,2,17,15,3,5,99,99,3558,4,53,4,30,0
28,76,761,1,17,15,3,4,99,99,3558,4,53,4,30,0
11,92,922,1,42,25,1,7,62,99,5973,2,54,7,62,0
11,92,922,2,54,50,1,7,62,99,5973,2,54,7,62,0
11,93,931,2,57,50,1,7,52,99,6779,1,57,7,52,0
11,78,782,1,20,15,3,7,99,99,4906,2,20,7,99,0
11,78,782,2,17,15,3,7,99,99,4906,2,20,7,99,0
76,31,313,1,28,25,1,5,61,99,1135,3,28,5,61,0
76,31,313,2,28,25,1,3,52,99,1135,3,28,5,61,0
76,31,313,2,16,15,1,4,51,99,1135,3,28,5,61,0
11,94,942,1,72,65,3,7,99,99,6817,2,72,7,99,0
11,94,942,2,70,65,3,7,99,99,6817,2,72,7,99,0
11,92,922,2,88,65,3,7,99,99,5753,1,88,7,99,0
11,75,751,1,53,50,3,2,99,99,3075,1,53,2,99,0
11,91,913,2,77,65,3,5,99,99,5605,1,77,5,99,0
76,82,822,1,51,50,1,5,52,99,5093,2,61,6,52,0
76,82,822,2,61,50,1,6,52,99,5093,2,61,6,52,0
76,31,313,1,73,65,3,1,99,99,1528,2,83,2,99,0
76,31,313,2,83,65,3,2,99,99,1528,2,83,2,99,0
76,12,123,2,79,65,3,3,99,99,222,1,79,3,99,0
11,77,771,1,40,25,1,6,62,99,4361,4,49,5,51,0
11,77,771,2,49,25,1,5,51,99,4361,4,49,5,51,0
11,77,771,2,16,15,3,4,99,99,4361,4,49,5,51,0
11,77,771,2,23,15,3,6,99,99,4361,4,49,5,51,0
76,31,313,1,77,65,3,5,99,99,1213,2,77,5,99,0
76,31,313,2,61,50,1,4,52,99,1213,2,77,5,99,0
76,12,121,1,79,65,3,5,99,99,194,1,79,5,99,0
76,31,311,2,31,25,1,5,10,99,1553,2,50,5,10,0
76,31,311,1,50,50,1,5,10,99,1553,2,50,5,10,0
11,93,931,1,78,65,3,7,99,99,6561,3,78,7,99,0
11,93,931,2,71,65,3,7,99,99,6561,3,78,7,99,0
11,93,931,2,55,50,1,6,51,99,6561,3,78,7,99,0
11,94,943,2,84,65,3,7,99,99,6830,1,84,7,99,0
76,34,341,2,60,50,3,5,99,99,1723,1,60,5,99,0
76,30,302,2,73,65,3,4,99,99,905,1,73,4,99,0
28,50,504,1,79,65,3,1,99,99,2269,1,79,1,99,0
11,93,931,2,40,25,1,2,40,99,6304,1,40,2,40,0
11,78,784,2,28,25,1,1,30,99,4463,2,38,1,30,0
11,78,784,1,38,25,1,1,30,99,4463,2,38,1,30,0
11,77,774,1,81,65,3,7,99,99,4011,2,81,7,99,0
11,77,774,2,74,65,3,7,99,99,4011,2,81,7,99,0
76,30,303,1,81,65,3,2,99,99,1021,4,81,2,99,0
76,30,303,2,55,50,1,2,30,99,1021,4,81,2,99,0
76,30,303,1,20,15,1,4,52,99,1021,4,81,2,99,0
76,30,303,2,16,15,3,4,99,99,1021,4,81,2,99,0
11,78,783,2,89,65,3,5,99,99,4548,1,89,5,99,0
11,75,751,2,66,65,3,7,99,99,3035,1,66,7,99,0
28,76,761,1,37,25,1,4,51,99,3902,2,37,4,51,0
28,76,761,2,34,25,1,4,51,99,3902,2,37,4,51,0
11,91,913,1,32,25,1,2,10,99,5522,1,32,2,10,0
28,61,613,2,66,65,1,5,10,99,2451,1,66,5,10,0
76,30,302,1,86,65,1,2,10,99,899,2,86,2,10,0
76,30,302,2,57,50,1,7,10,99,899,2,86,2,10,0
11,78,783,1,61,50,3,2,99,99,4889,1,61,2,99,0
76,65,653,1,28,25,1,3,40,99,2499,2,47,3,51,0
76,65,653,2,47,25,1,3,51,99,2499,2,47,3,51,0
11,75,751,2,76,65,3,6,99,99,2755,1,76,6,99,0
76,12,123,1,65,65,3,7,99,99,235,3,79,7,99,0
76,12,123,2,79,65,3,7,99,99,235,3,79,7,99,0
76,12,123,1,42,25,1,7,62,99,235,3,79,7,99,0
28,14,142,1,24,15,1,7,62,99,465,1,24,7,62,0
11,92,922,2,49,25,1,6,62,99,6043,1,49,6,62,0
11,75,751,2,44,25,1,3,40,99,2995,3,49,6,51,0
11,75,751,1,49,25,1,6,51,99,2995,3,49,6,51,0
11,75,751,1,23,15,3,6,99,99,2995,3,49,6,51,0
28,76,762,1,32,25,1,3,30,99,3786,3,44,2,40,0
28,76,762,2,44,25,1,2,40,99,3786,3,44,2,40,0
28,76,762,2,19,15,3,6,99,99,3786,3,44,2,40,0
11,93,932,1,56,50,1,5,40,99,6709,2,56,5,40,0
11,93,932,1,27,25,3,7,99,99,6709,2,56,5,40,0
76,30,302,2,75,65,3,5,99,99,904,2,75,5,99,0
76,30,302,1,74,65,3,6,99,99,904,2,75,5,99,0
94,2B,2B2,1,51,50,3,1,99,99,844,2,61,1,99,0
94,2B,2B2,2,61,50,3,1,99,99,844,2,61,1,99,0
76,30,302,1,40,25,1,6,40,99,983,1,40,6,40,0
76,31,313,2,87,65,3,7,99,99,1326,1,87,7,99,0
28,76,763,1,71,65,3,5,99,99,3534,2,84,7,99,0
28,76,763,2,84,65,3,7,99,99,3534,2,84,7,99,0
11,75,751,2,72,65,3,7,99,99,3228,1,72,7,99,0
76,34,341,1,56,50,1,3,30,99,2060,3,64,2,40,0
76,34,341,2,64,50,1,2,40,99,2060,3,64,2,40,0
76,34,341,1,24,15,3,2,99,99,2060,3,64,2,40,0
76,34,343,2,84,65,3,5,99,99,2104,1,84,5,99,0
76,31,313,1,58,50,1,5,20,99,1260,1,58,5,20,0
11,95,951,2,56,50,1,5,10,99,7411,2,56,5,10,0
11,95,951,1,53,50,1,5,10,99,7411,2,56,5,10,0
28,27,271,1,78,65,3,5,99,99,548,1,78,5,99,0
11,75,751,2,57,50,1,4,51,99,3460,2,57,4,51,0
11,75,751,1,53,50,3,5,99,99,3460,2,57,4,51,0
11,91,912,1,48,25,1,5,20,99,5516,4,48,5,20,0
11,91,912,2,39,25,1,5,62,99,5516,4,48,5,20,0
11,91,912,2,22,15,1,4,51,99,5516,4,48,5,20,0
11,91,912,1,23,15,3,6,99,99,5516,4,48,5,20,0
76,31,313,1,89,65,3,3,99,99,1207,1,89,3,99,0
76,31,312,1,54,50,1,4,20,99,1612,3,63,7,99,0
76,31,312,1,63,50,3,7,99,99,1612,3,63,7,99,0
76,31,312,1,17,15,3,1,99,99,1612,3,63,7,99,0
76,34,343,2,85,65,3,7,99,99,1848,1,85,7,99,0
28,14,142,1,37,25,1,3,40,99,298,4,37,3,40,0
